,n_features,n_samples,n_subjects,feature_std,A,B,C,overall_prob_outcome,sd_outcome,time_effect,mean,sd,icc,icc_pred,auc_value_base,auc,auc_individual,auc_individual_sd,total_n,auc_c,auc_c_individual,auc_c_individual_sd,sd_intercept,sd_residual
70,10,90,150,0.1,0.05,0.15,0.05,0.6,0.15,FALSE,0.603333333,0.167570258,0.107320193,0.824854373,0.611258429,0.965123206,0.956261732,0.073173475,150,0.998873143,0.998734494,0.00798954,0.146229127,0.067382155
71,10,90,150,0.1,0.05,0.15,0.05,0.7,0.15,FALSE,0.700518519,0.160274315,0.11248306,0.837365334,0.577076652,0.962223626,0.953431221,0.09134712,146,0.998556627,0.998326224,0.010915401,0.149822584,0.066027729
72,10,90,150,0.1,0.05,0.15,0.05,0.9,0.15,FALSE,0.896814815,0.160310498,0.269083333,0.870608802,0.609763564,0.853137508,0.760680809,0.211782465,77,0.990719258,0.977233183,0.089184097,0.147328905,0.056797445
73,10,90,150,0.1,0.05,0.15,0.05,0.7,0.2,FALSE,0.723925926,0.203473592,0.197958179,0.830223846,0.624451651,0.952343815,0.921301795,0.135136479,137,0.998710232,0.999087591,0.006499618,0.14286915,0.064606945
74,10,90,150,0.1,0.05,0.15,0.05,0.2,0.2,FALSE,0.193111111,0.191615925,0.226674209,0.838916903,0.61093828,0.925461931,0.904652577,0.143107585,117,0.998738966,0.998907882,0.009573696,0.139575606,0.061161064
75,10,90,150,0.1,0.05,0.15,0.05,0.4,0.2,FALSE,0.415777778,0.206707757,0.166435525,0.837370797,0.647218149,0.974822146,0.9692191,0.066417725,147,0.998893505,0.999297695,0.004950851,0.151642122,0.066828269
76,10,90,150,0.1,0.05,0.15,0.05,0.1,0.2,FALSE,0.086666667,0.19222608,0.459358117,0.893644357,0.732288921,0.882964426,0.803095008,0.201750186,47,0.995508982,0.995575435,0.018089306,0.155142106,0.053521416
77,10,90,150,0.1,0.05,0.15,0.05,0.3,0.2,FALSE,0.306888889,0.195273804,0.169830465,0.848826341,0.6241475,0.951526085,0.927817507,0.131102099,147,0.997611342,0.99826322,0.009082223,0.153533138,0.064793399
78,10,90,150,0.1,0.05,0.15,0.05,0.6,0.2,FALSE,0.596296296,0.214526193,0.181843179,0.812782813,0.671164243,0.964558646,0.957682011,0.083346963,149,0.9989761,0.999384327,0.003781685,0.139251914,0.066832357
79,10,90,150,0.1,0.05,0.15,0.05,0.5,0.2,FALSE,0.498222222,0.192420294,0.138384696,0.811944558,0.638403657,0.975058843,0.971852951,0.052625564,148,0.998760937,0.99888354,0.006608987,0.14168338,0.068186543
80,10,90,150,0.1,0.05,0.15,0.05,0.8,0.2,FALSE,0.766666667,0.219366438,0.260302531,0.867607109,0.65480927,0.95433326,0.916632484,0.151927802,123,0.997362869,0.99447656,0.045697765,0.158586911,0.061949545
81,10,90,150,0.1,0.05,0.15,0.05,0.1,0.25,FALSE,0.083259259,0.227639949,0.672217836,0.91977806,0.850496986,0.918380851,0.800881533,0.219737323,31,0.981981982,0.983395417,0.047876748,0.177154864,0.052318844
82,10,90,150,0.1,0.05,0.15,0.05,0.9,0.2,FALSE,0.870814815,0.24477148,0.525420701,0.892270689,0.806004963,0.921760388,0.827061946,0.188074479,54,0.99190675,0.992762965,0.018700917,0.158301261,0.055005106
83,10,90,150,0.1,0.05,0.15,0.05,0.2,0.25,FALSE,0.199555556,0.251471368,0.38805535,0.858972288,0.7165254,0.95085825,0.906394565,0.149351983,96,0.995971406,0.996500582,0.016166992,0.147282195,0.059677813
84,10,90,150,0.1,0.05,0.15,0.05,0.5,0.25,FALSE,0.489851852,0.241576754,0.224554433,0.856464279,0.699252138,0.979012081,0.96742724,0.076840619,147,0.998766162,0.999169963,0.004474724,0.16360585,0.06697677
85,10,90,150,0.1,0.05,0.15,0.05,0.3,0.25,FALSE,0.347333333,0.2681769,0.308903927,0.861274329,0.698947678,0.961471375,0.934583311,0.119517788,134,0.998381799,0.998620109,0.007957847,0.158658079,0.063675132
86,10,90,150,0.1,0.05,0.15,0.05,0.6,0.25,FALSE,0.606,0.247742747,0.248266886,0.844703411,0.703253432,0.958501208,0.941679824,0.097913828,143,0.998852329,0.999017559,0.006414322,0.152868754,0.065546206
87,10,90,150,0.1,0.05,0.15,0.05,0.4,0.25,FALSE,0.374666667,0.255875104,0.270825419,0.84943434,0.702671765,0.962258533,0.94505288,0.106763217,137,0.998712999,0.9993309,0.004930936,0.154328366,0.064974631
88,10,90,150,0.1,0.05,0.15,0.05,0.7,0.25,FALSE,0.70837037,0.247124273,0.287121025,0.80743499,0.699005898,0.961735922,0.934919636,0.123848372,131,0.997890295,0.998180241,0.01013763,0.128104621,0.062560427
89,10,90,150,0.1,0.05,0.15,0.05,0.8,0.25,FALSE,0.833925926,0.237239722,0.398612226,0.874623462,0.713535766,0.944432117,0.885449985,0.171276619,89,0.998908029,0.999438202,0.005299989,0.152735292,0.05782784
90,10,90,150,0.1,0.05,0.2,0.05,0.2,0.05,FALSE,0.199925926,0.06930519,0.019123766,0.917841653,0.5,0.926693521,0.92544149,0.120000262,147,0.996686022,0.996802451,0.016726315,0.210697403,0.063037815
91,10,90,150,0.1,0.05,0.2,0.05,0.1,0.05,FALSE,0.10237037,0.061259554,0.030050775,0.912495009,0.5,0.837819756,0.819650669,0.201154437,127,0.995100354,0.995266217,0.027912479,0.189120724,0.058565289
92,10,90,150,0.1,0.05,0.15,0.05,0.9,0.25,FALSE,0.864666667,0.308718482,0.807931194,0.887030915,0.953571215,0.959302214,0.877947174,0.177219154,23,0.995300752,0.99679089,0.011341858,0.146055823,0.052122988
93,10,90,150,0.1,0.05,0.2,0.05,0.3,0.05,FALSE,0.311481481,0.074944857,0.015243709,0.880095275,0.5,0.958544014,0.958027964,0.079657665,150,0.99743251,0.997467593,0.012408297,0.185421345,0.068440478
94,10,90,150,0.1,0.05,0.2,0.05,0.4,0.05,FALSE,0.409851852,0.072667265,0.010837939,0.888854331,0.5,0.976177042,0.976890161,0.052406869,150,0.998884426,0.998996519,0.0068738,0.198496844,0.070191509
95,10,90,150,0.1,0.05,0.2,0.05,0.7,0.05,FALSE,0.694222222,0.067931331,0.010743927,0.910402409,0.5,0.966748393,0.964430537,0.067933047,149,0.997599016,0.997569475,0.011825833,0.216324341,0.067863594
96,10,90,150,0.1,0.05,0.2,0.05,0.9,0.05,FALSE,0.899333333,0.061308812,0.030737211,0.936276728,0.5,0.816872428,0.783484564,0.204090723,126,0.988888889,0.986640212,0.059020518,0.225461786,0.058819301
